group,eps,case,relerr
diag,1e-4,1,4.133678605479510e-07
diag,1e-4,1,3.282845392543945e-10
diag,1e-4,1,4.529676591780344e-12
diag,1e-4,1,3.485724085821238e-10
diag,1e-4,1,3.735589102186644e-09
diag,1e-4,1,1.297444505639146e-12
diag,1e-4,1,1.347174602331446e-09
diag,1e-4,1,2.387741912096510e-08
diag,1e-4,1,9.045596652703500e-10
diag,1e-4,1,2.457892487287718e-11
diag,1e-4,1,3.081075979301555e-08
diag,1e-4,1,3.101567488360180e-09
diag,1e-4,1,2.471332424476469e-12
diag,1e-4,1,5.104102294424891e-10
diag,1e-4,1,1.650451193893481e-07
diag,1e-4,1,2.498568336489296e-13
diag,1e-4,1,4.524880433865677e-13
diag,1e-4,1,2.316250903683029e-14
diag,1e-4,1,7.625226103977529e-14
diag,1e-4,1,6.044737023358791e-12
diag,1e-4,1,1.076175055572972e-12
diag,1e-4,1,2.969461575863358e-06
diag,1e-4,1,7.858389593112775e-12
diag,1e-4,1,4.971612018729696e-13
diag,1e-4,1,4.894802046028188e-08
diag,1e-4,1,9.521790433779208e-07
diag,1e-4,1,2.056725971554456e-09
diag,1e-4,1,1.956397602154446e-05
diag,1e-4,1,5.142522279870088e-13
diag,1e-4,1,2.153506926697123e-11
diag,1e-4,1,1.971680144304072e-12
diag,1e-4,1,2.368789812026864e-12
diag,1e-4,1,1.040215689919895e-14
diag,1e-4,1,7.375020814825844e-13
diag,1e-4,1,2.727889901147666e-09
diag,1e-4,1,3.983888722037553e-07
diag,1e-4,1,1.670274787800584e-07
diag,1e-4,1,1.174464873164510e-10
diag,1e-4,1,3.795046913057669e-12
diag,1e-4,1,4.898494230408173e-11
diag,1e-4,1,1.768006823201000e-11
diag,1e-4,1,4.628479253123499e-07
diag,1e-4,1,1.986792344633147e-12
diag,1e-4,1,1.117306425266908e-09
diag,1e-4,1,4.508286413801466e-09
diag,1e-4,1,1.843678046929540e-07
diag,1e-4,1,2.153431676491505e-11
diag,1e-4,1,5.183807860954413e-08
diag,1e-4,1,4.627106141454037e-11
diag,1e-4,1,5.436901065862954e-13
